CustomerID,Lookalikes
C0001,"[('C0191', 0.9864538255341586), ('C0069', 0.9813471548574181), ('C0137', 0.9736481526191874)]"
C0002,"[('C0031', 0.9979033139477226), ('C0029', 0.9854103956243642), ('C0197', 0.9602456838092616)]"
C0003,"[('C0176', 0.9549430669779934), ('C0073', 0.8934203585261887), ('C0144', 0.8916507826726409)]"
C0004,"[('C0068', 0.9909049685559322), ('C0113', 0.9891686323213765), ('C0017', 0.9889488612378938)]"
C0005,"[('C0123', 0.9997155252676422), ('C0078', 0.994219839511232), ('C0036', 0.9931050577054645)]"
C0006,"[('C0168', 0.8976935607595615), ('C0026', 0.7991551429156737), ('C0066', 0.7647296975334548)]"
C0007,"[('C0150', 0.9863334541482052), ('C0130', 0.9835606391597925), ('C0120', 0.9821287203506102)]"
C0008,"[('C0084', 0.9681415860804952), ('C0081', 0.9647297584344173), ('C0162', 0.9552635775415744)]"
C0009,"[('C0198', 0.9837771749886359), ('C0043', 0.9752633894624648), ('C0186', 0.9748023840971799)]"
C0010,"[('C0002', 0.9495652889222032), ('C0031', 0.9464038468631515), ('C0094', 0.9291495278787831)]"
C0011,"[('C0048', 0.9696230933158152), ('C0064', 0.9673762479047214), ('C0056', 0.9455267449275901)]"
C0012,"[('C0101', 0.9827904288501103), ('C0143', 0.9824925227665138), ('C0041', 0.9680522150456969)]"
C0013,"[('C0141', 0.9978705458653375), ('C0059', 0.9948447098881875), ('C0104', 0.9938080799902682)]"
C0014,"[('C0058', 0.9987297518414904), ('C0020', 0.9983392422326955), ('C0080', 0.9959443648562025)]"
C0015,"[('C0063', 0.9979546785958501), ('C0095', 0.9975633824009779), ('C0060', 0.9966118623317467)]"
C0016,"[('C0107', 0.9762910576235616), ('C0183', 0.8566788429245003), ('C0118', 0.790464154839237)]"
C0017,"[('C0162', 0.9943994629901063), ('C0084', 0.9899310801285968), ('C0004', 0.9889488612378938)]"
C0018,"[('C0149', 0.981731845207148), ('C0182', 0.92315634426489), ('C0170', 0.9021962464573043)]"
C0019,"[('C0172', 0.9780785942130749), ('C0116', 0.960493126726873), ('C0157', 0.8389981318088874)]"
C0020,"[('C0014', 0.9983392422326955), ('C0110', 0.9976129766390334), ('C0058', 0.9964393596224629)]"
